City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Flinders,AU,2021-11-27 22:29:15,-34.5833,150.8552,60.08,83,100,11.45
68,East London,ZA,2021-11-27 22:28:58,-33.0153,27.9116,65.34,93,42,4.21
69,Bengkulu,ID,2021-11-27 22:29:15,-3.8004,102.2655,76.1,88,100,4.05
70,Hobart,AU,2021-11-27 22:28:18,-42.8794,147.3294,58.86,67,0,10.36
71,Cuamba,MZ,2021-11-27 22:29:16,-14.8031,36.5372,66.02,77,1,7.61
72,Geraldton,AU,2021-11-27 22:29:16,-28.7667,114.6,63.01,59,1,5.75
73,Banepa,NP,2021-11-27 22:29:16,27.6298,85.5214,46.72,100,20,2.3
74,Saskylakh,RU,2021-11-27 22:29:17,71.9167,114.0833,-2.9,92,92,10.18
75,Gwadar,PK,2021-11-27 22:29:17,25.1216,62.3254,74.88,47,1,2.8
76,Ostrovnoy,RU,2021-11-27 22:24:21,68.0531,39.5131,9.73,86,15,8.66
77,Butaritari,KI,2021-11-27 22:29:17,3.0707,172.7902,82.06,74,30,20.36
78,Nanjing,CN,2021-11-27 22:29:18,32.0617,118.7778,42.71,76,4,9.55
79,Dikson,RU,2021-11-27 22:29:18,73.5069,80.5464,-11.22,97,100,8.81
80,Port Elizabeth,ZA,2021-11-27 22:27:31,-33.918,25.5701,61.09,77,0,5.75
81,Nurma,RU,2021-11-27 22:29:18,59.55,31.0167,27.99,93,100,11.68
82,Katsuura,JP,2021-11-27 22:29:19,35.1333,140.3,46.51,55,0,16.89
83,Bambous Virieux,MU,2021-11-27 22:29:19,-20.3428,57.7575,73.65,88,40,5.75
84,Narsaq,GL,2021-11-27 22:29:19,60.9167,-46.05,37.62,97,100,8.46
85,Djenne,ML,2021-11-27 22:29:20,13.9061,-4.5533,84.09,15,97,7.99
86,Port Lincoln,AU,2021-11-27 22:29:20,-34.7333,135.8667,60.46,74,0,12.53
87,Bria,CF,2021-11-27 22:29:20,6.5423,21.9863,71.55,37,92,1.57
88,Esperance,AU,2021-11-27 22:29:20,-33.8667,121.9,60.64,62,1,14.2
89,Canyon,US,2021-11-27 22:29:21,34.9803,-101.9188,65.25,15,100,18.23
90,Barcelos,PT,2021-11-27 22:29:21,41.5388,-8.6151,42.94,75,6,7.07
91,Egvekinot,RU,2021-11-27 22:29:21,66.3167,-179.1667,-16.11,85,3,6.02
92,Green River,US,2021-11-27 22:29:22,41.5286,-109.4662,46.8,41,93,11.63
93,Na Wa,TH,2021-11-27 22:30:22,17.4897,104.1006,60.01,82,67,3.65
94,Hermanus,ZA,2021-11-27 22:30:22,-34.4187,19.2345,64.4,81,31,17.36
95,Puerto Escondido,MX,2021-11-27 22:30:22,15.85,-97.0667,83.23,74,40,5.75
96,Atyrau,KZ,2021-11-27 22:30:22,47.1167,51.8833,35.62,48,40,20.13
97,Kapaa,US,2021-11-27 22:28:47,22.0752,-159.319,80.92,57,1,10.36
98,Qaqortoq,GL,2021-11-27 22:29:10,60.7167,-46.0333,37.9,96,100,7.65
99,El Alto,PE,2021-11-27 22:30:23,-4.2714,-81.2147,71.26,78,57,13.06
100,Agogo,GH,2021-11-27 22:30:23,6.8,-1.0819,73.35,85,94,6.11
101,Yellowknife,CA,2021-11-27 22:30:16,62.456,-114.3525,-7.08,77,20,5.75
102,Ilulissat,GL,2021-11-27 22:27:57,69.2167,-51.1,24.82,58,75,18.41
103,Muyezerskiy,RU,2021-11-27 22:30:24,63.9333,31.65,6.48,99,98,3.31
104,Kenai,US,2021-11-27 22:30:24,60.5544,-151.2583,6.89,78,90,0.0
105,Kulhudhuffushi,MV,2021-11-27 22:30:24,6.6221,73.07,80.96,78,100,12.01
106,Chuy,UY,2021-11-27 22:30:24,-33.6971,-53.4616,66.4,88,69,8.41
107,Te Anau,NZ,2021-11-27 22:28:22,-45.4167,167.7167,53.78,65,100,0.56
108,Novikovo,RU,2021-11-27 22:30:25,51.1537,37.8879,41.61,97,100,8.55
109,Mayo,US,2021-11-27 22:26:48,38.8876,-76.5119,42.84,36,1,3.44
110,Norman Wells,CA,2021-11-27 22:26:49,65.282,-126.8329,-18.36,76,20,0.0
111,Lorengau,PG,2021-11-27 22:30:25,-2.0226,147.2712,82.69,75,100,3.0
112,Cidreira,BR,2021-11-27 22:25:27,-30.1811,-50.2056,69.78,93,65,9.35
113,Honningsvag,NO,2021-11-27 22:30:25,70.9821,25.9704,24.98,74,25,23.78
114,Luderitz,NA,2021-11-27 22:30:26,-26.6481,15.1594,60.06,87,0,4.32
115,Sung Noen,TH,2021-11-27 22:30:26,14.8992,101.8207,63.01,83,72,4.23
116,Farah,AF,2021-11-27 22:30:26,32.5,62.5,48.83,37,6,2.57
117,Kodinsk,RU,2021-11-27 22:30:27,58.6881,99.1844,13.95,94,100,6.24
118,Khatanga,RU,2021-11-27 22:30:27,71.9667,102.5,-7.85,93,100,13.58
119,Yaan,NG,2021-11-27 22:30:27,7.3833,8.5667,78.49,46,85,7.74
120,Kaputa,ZM,2021-11-27 22:30:29,-8.4689,29.6619,69.44,84,9,4.0
121,Havre-Saint-Pierre,CA,2021-11-27 22:30:29,50.2334,-63.5986,42.8,87,90,10.36
122,Staryy Nadym,RU,2021-11-27 22:30:29,65.6118,72.6842,-2.63,100,97,8.25
123,Grindavik,IS,2021-11-27 22:30:30,63.8424,-22.4338,34.27,100,75,3.44
124,Kurilsk,RU,2021-11-27 22:30:30,45.2333,147.8833,36.25,66,99,18.84
125,Baruun-Urt,MN,2021-11-27 22:30:30,46.6806,113.2792,13.12,95,90,8.16
126,Rocha,UY,2021-11-27 22:30:31,-34.4833,-54.3333,67.08,84,65,9.31
127,Yulara,AU,2021-11-27 22:30:31,-25.2406,130.9889,67.84,37,0,12.66
128,Sao Joao Da Barra,BR,2021-11-27 22:26:39,-21.6403,-41.0511,76.01,82,74,5.99
